local_00_0: {'Centre': [[377, 147], [282, 279]], 'angle_length': -16.6, 'HoughLines_or_LSD': 0, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 28}
local_01_0: {'Centre': [[406, 71], [211, 380]], 'angle_length': -28.1, 'HoughLines_or_LSD': 0, 'range_number': 2, 'ksize_z': 15, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 20}
local_02_0: {'Centre': [[347, 164], [322, 323]], 'angle_length': -10.5, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 18}
local_03_0: {'Centre': [[286, 172], [335, 322]], 'angle_length': 19.7, 'HoughLines_or_LSD': 1, 'range_number': 2, 'ksize_z': 10, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 20}
local_04_0: {'Centre': [[246, 114], [279, 352]], 'angle_length': -45.0, 'HoughLines_or_LSD': 0, 'range_number': 2, 'ksize_z': 10, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 20}
local_05_0: {'Centre': [[412, 113], [477, 242]], 'angle_length': 17.5, 'HoughLines_or_LSD': 0, 'range_number': 3, 'ksize_z': 12, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 20}
local_06_0: {'Centre': [[397, 144], [200, 429]], 'angle_length': -30.2, 'HoughLines_or_LSD': 1, 'range_number': 2, 'ksize_z': 10, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 13}
local_07_0: {'Centre': [[238, 69], [492, 326]], 'angle_length': 22.5, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_08_0: {'Centre': [[285, 243], [216, 478]], 'angle_length': -50.0, 'HoughLines_or_LSD': 1, 'range_number': 3, 'ksize_z': 10, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_09_0: {'Centre': [[229, 464], [276, 163]], 'angle_length': -52.0, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_10_0: {'Centre': [[479, 376], [255, 186]], 'angle_length': 21.3, 'HoughLines_or_LSD': 1, 'range_number': 2, 'ksize_z': 15, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_11_0: {'Centre': [[268, 338], [309, 213]], 'angle_length': -20.5, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 20}
local_12_0: {'Centre': [[385, 229], [398, 304]], 'angle_length': 15.7, 'HoughLines_or_LSD': 1, 'range_number': 2, 'ksize_z': 10, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 25}
local_13_0: {'Centre': [[444, 128], [384, 337]], 'angle_length': -34.5, 'HoughLines_or_LSD': 1, 'range_number': 2, 'ksize_z': 10, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_14_0: {'Centre': [[303, 138], [409, 429]], 'angle_length': 35.0, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_15_0: {'Centre': [[263, 74], [553, 473]], 'angle_length': 43.6, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_00_1: {'Centre': [[305, 230], [271, 396]], 'angle_length': -16.6, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_01_1: {'Centre': [[395, 154], [218, 375]], 'angle_length': -28.1, 'HoughLines_or_LSD': 0, 'range_number': 1, 'ksize_z': 5, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 15}
local_02_1: {'Centre': [[321, 341], [329, 234]], 'angle_length': -10.5, 'HoughLines_or_LSD': 0, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_03_1: {'Centre': [[328, 297], [315, 180]], 'angle_length': 19.7, 'HoughLines_or_LSD': 0, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 20}
local_04_1: {'Centre': [[278, 333], [255, 206]], 'angle_length': -45.0, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 28}
local_05_1: {'Centre': [[406, 104], [506, 252]], 'angle_length': 17.5, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_06_1: {'Centre': [[190, 434], [342, 207]], 'angle_length': -30.2, 'HoughLines_or_LSD': 0, 'range_number': 2, 'ksize_z': 5, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 15}
local_07_1: {'Centre': [[290, 71], [473, 310]], 'angle_length': 22.5, 'HoughLines_or_LSD': 0, 'range_number': 2, 'ksize_z': 25, 'smooth_size': 7, 'sigma': 1.4, 'threshold': 17}
local_08_1: {'Centre': [[300, 188], [223, 473]], 'angle_length': -46.0, 'HoughLines_or_LSD': 0, 'range_number': 3, 'ksize_z': 20, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 10}
local_09_1: {'Centre': [[229, 464], [276, 163]], 'angle_length': -52.0, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_10_1: {'Centre': [[476, 371], [257, 160]], 'angle_length': 21.3, 'HoughLines_or_LSD': 1, 'range_number': 2, 'ksize_z': 10, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_11_1: {'Centre': [[265, 367], [293, 259]], 'angle_length': -20.5, 'HoughLines_or_LSD': 1, 'range_number': 1, 'ksize_z': 3, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
local_12_1: {'Centre': [[348, 196], [404, 254]], 'angle_length': 15.7, 'HoughLines_or_LSD': 0, 'range_number': 1, 'ksize_z': 1, 'smooth_size': 6, 'sigma': 1.4, 'threshold': 15}
