local_00_0 (1): {'Casing_profile': [[285, 237], [290, 254], [360, 217], [364, 237]]}
local_00_0 (4): {'Casing_profile': [[294, 242], [303, 256], [374, 222], [377, 239]]}
local_00_0 (5): {'Casing_profile': [[298, 237], [300, 256], [386, 215], [394, 232]]}
local_01_1 (1): {'Casing_profile': [[200, 285], [203, 309], [412, 160], [421, 178]]}
local_01_1 (2): {'Casing_profile': [[192, 349], [202, 368], [417, 227], [427, 245]]}
local_01_1 (3): {'Casing_profile': [[188, 351], [195, 370], [413, 235], [422, 250]]}
local_02_0 (1): {'Casing_profile': [[275, 207], [278, 226], [358, 186], [362, 207]]}
local_02_0 (4): {'Casing_profile': [[302, 313], [305, 325], [362, 299], [364, 314]]}
local_02_0 (5): {'Casing_profile': [[289, 310], [291, 325], [352, 298], [355, 312]]}
local_02_0 (8): {'Casing_profile': [[270, 282], [273, 294], [327, 267], [332, 282]]}
local_02_1 (1): {'Casing_profile': [[278, 256], [278, 269], [336, 244], [339, 255]]}
local_02_1 (2): {'Casing_profile': [[305, 317], [308, 331], [370, 305], [371, 319]]}
local_03_1 (1): {'Casing_profile': [[278, 245], [270, 262], [340, 270], [334, 286]]}
local_03_1 (2): {'Casing_profile': [[310, 197], [304, 213], [370, 225], [362, 239]]}
local_03_1 (3): {'Casing_profile': [[313, 193], [306, 208], [371, 220], [364, 236]]}
local_03_0 (1): {'Casing_profile': [[308, 230], [299, 252], [385, 262], [377, 288]]}
local_03_0 (4): {'Casing_profile': [[282, 243], [279, 260], [344, 267], [336, 283]]}
local_03_0 (3): {'Casing_profile': [[272, 242], [264, 259], [331, 267], [324, 281]]}
local_03_0 (5): {'Casing_profile': [[310, 243], [302, 259], [364, 266], [358, 281]]}
local_03_0 (7): {'Casing_profile': [[284, 210], [275, 234], [362, 244], [350, 262]]}
local_03_0 (8): {'Casing_profile': [[302, 237], [293, 258], [385, 271], [377, 289]]}
local_04_0 (11): {'Casing_profile': [[238, 247], [261, 266], [282, 192], [309, 213]]}
local_04_0 (12): {'Casing_profile': [[243, 268], [263, 278], [286, 211], [311, 225]]}
local_04_0 (13): {'Casing_profile': [[242, 259], [260, 275], [280, 213], [305, 230]]}
local_04_1 (1): {'Casing_profile': [[227, 285], [242, 298], [260, 247], [276, 260]]}
local_04_1 (2): {'Casing_profile': [[239, 259], [256, 276], [283, 202], [304, 226]]}
local_04_1 (4): {'Casing_profile': [[247, 300], [259, 311], [280, 262], [296, 277]]}
local_04_1 (5): {'Casing_profile': [[256, 298], [269, 310], [289, 262], [306, 276]]}
local_04_1 (6): {'Casing_profile': [[268, 299], [282, 311], [302, 260], [317, 278]]}
local_04_1 (7): {'Casing_profile': [[255, 298], [268, 312], [287, 262], [301, 279]]}
local_04_1 (8): {'Casing_profile': [[247, 269], [263, 282], [280, 230], [295, 243]]}
local_05_1 (1): {'Casing_profile': [[356, 97], [353, 110], [520, 152], [516, 166]]}
local_05_1 (2): {'Casing_profile': [[336, 171], [332, 183], [500, 222], [495, 235]]}
local_05_0 (1): {'Casing_profile': [[354, 179], [352, 190], [522, 230], [518, 242]]}
local_05_0 (2): {'Casing_profile': [[326, 161], [324, 173], [494, 216], [490, 227]]}
local_05_0 (8): {'Casing_profile': [[342, 108], [337, 120], [506, 164], [504, 176]]}
local_06_0 (6): {'Casing_profile': [[157, 342], [166, 358], [360, 216], [370, 231]]}
local_06_1 (1): {'Casing_profile': [[178, 407], [186, 425], [386, 288], [396, 304]]}
local_06_1 (2): {'Casing_profile': [[154, 342], [163, 359], [349, 220], [360, 237]]}
local_07_1 (1): {'Casing_profile': [[199, 118], [188, 146], [571, 293], [558, 323]]}
local_07_1 (3): {'Casing_profile': [[230, 56], [217, 87], [595, 230], [589, 265]]}
local_08_1 (1): {'Casing_profile': [[144, 451], [167, 465], [325, 210], [349, 228]]}
local_08_1 (3): {'Casing_profile': [[172, 464], [198, 472], [341, 265], [385, 280]]}
local_09_0 (3): {'Casing_profile': [[96, 453], [119, 478], [321, 158], [351, 187]]}
local_10_0 (8): {'Casing_profile': [[220, 230], [212, 251], [494, 340], [490, 363]]}
local_10_0 (9): {'Casing_profile': [[257, 230], [250, 249], [532, 339], [528, 360]]}
local_10_0 (5): {'Casing_profile': [[273, 236], [265, 251], [475, 316], [470, 329]]}
local_10_1 (2): {'Casing_profile': [[255, 184], [249, 200], [457, 266], [450, 282]]}
local_10_1 (5): {'Casing_profile': [[272, 236], [265, 251], [476, 317], [471, 330]]}
local_11_0 (2): {'Casing_profile': [[252, 313], [259, 328], [306, 291], [316, 308]]}
local_11_1 (4): {'Casing_profile': [[255, 341], [263, 357], [312, 321], [319, 339]]}
local_11_1 (2): {'Casing_profile': [[249, 340], [256, 355], [310, 319], [315, 336]]}
local_11_1 (5): {'Casing_profile': [[252, 341], [259, 356], [316, 318], [320, 336]]}
local_11_1 (6): {'Casing_profile': [[255, 344], [263, 359], [319, 322], [322, 340]]}
local_12_0 (1): {'Casing_profile': [[379, 263], [369, 283], [468, 284], [464, 305]]}
